SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2126,4,1,Rural,1969,215355.2836
2459,3,2,Rural,1980,195014.2216
1860,2,1,Suburb,1970,306891.0121
2294,2,1,Urban,1996,206786.7872
2130,5,2,Suburb,2001,272436.2
2095,2,3,Suburb,2020,198208.8039
2724,2,1,Suburb,1993,343429.3191
2044,4,3,Rural,1957,184992.3
2638,4,3,Urban,1959,377998.5882
1121,5,2,Urban,2004,95961.92601
1466,5,3,Suburb,1951,191113.7687
2238,3,3,Suburb,1987,253358.645
1330,2,2,Suburb,1992,132172.3926
2482,4,3,Suburb,1989,231157.0277
1087,4,1,Urban,1976,118393.8232
2396,2,2,Suburb,1993,267377.3997
2123,5,2,Rural,1956,190773.1486
1871,4,2,Suburb,1977,172989.8049
2687,5,1,Urban,1979,239222.6678
1130,4,3,Rural,1962,143050.2018
2685,4,3,Urban,1999,405523.8283
2332,3,3,Rural,1978,263954.1541
1769,4,1,Suburb,1963,148310.6202
1343,2,3,Rural,2013,151733.9225
2515,2,3,Urban,2013,307961.1074
2437,2,1,Rural,2004,276162.8618
1805,5,1,Rural,2002,243985.2055
1385,4,3,Rural,1996,88030.54185
2215,5,1,Urban,1952,282908.9817
1955,3,1,Rural,2014,240976.5518
1276,4,1,Rural,1965,104747.3346
2184,2,2,Suburb,1959,347207.3896
1459,3,2,Rural,2006,77493.93
2337,3,3,Suburb,2008,331851.0817
1021,4,3,Rural,2013,110408.6708
1252,2,1,Urban,1993,127932.7568
1747,5,3,Rural,1982,228683.227
1856,4,2,Rural,1959,124711.7079
2584,2,3,Suburb,2001,415850.7708
1474,3,3,Urban,1959,184819.9612
2082,4,2,Suburb,1966,164855.9878
1510,3,2,Suburb,2002,156928.0147
2705,2,1,Urban,1971,282457.8614
2499,5,1,Urban,2021,287591.6728
1699,5,1,Rural,1960,156313.5942
1975,3,3,Suburb,2016,279764.371
2806,3,3,Suburb,1962,366494.4806
1189,3,3,Urban,2007,244539.2817
1957,4,2,Rural,1994,239299.9945
1686,2,3,Urban,1994,249148.3447
1957,3,2,Rural,1992,304197.5798
1562,3,3,Rural,2013,89378.55062
2899,3,3,Rural,1988,427295.4046
2590,5,2,Suburb,1957,328501.8015
2267,3,2,Urban,1989,215867.419
1831,2,2,Rural,2000,190058.8929
2528,5,1,Urban,1969,259751.1544
2154,2,1,Rural,2015,166810.3887
2508,5,3,Suburb,2007,352932.1625
2842,5,3,Urban,2014,422042.9185
1646,4,3,Suburb,1994,91423.61965
1020,5,1,Rural,1983,220053.8604
1840,5,3,Suburb,1961,216148.2085
1166,2,2,Suburb,1972,161587.1537
2297,2,2,Urban,2017,194967.9095
1387,3,1,Rural,2002,152828.7203
1600,4,2,Rural,2002,256725.9809
1315,5,2,Suburb,1989,98039.3031
1013,4,3,Urban,2002,164858.1869
1241,3,2,Urban,1985,199373.1821
1776,4,2,Urban,2014,181245.4467
2369,5,1,Suburb,1963,209700.7185
1564,2,2,Rural,1983,163053.3921
1897,4,2,Rural,1975,304004.6899
2363,5,3,Urban,2004,308830.9397
1091,3,3,Urban,2012,194294
2390,5,3,Urban,2019,172777.3198
1955,4,1,Suburb,1995,197656.0703
2478,5,3,Urban,1986,273365.4991
2451,5,2,Rural,1972,216047.2181
1508,4,1,Urban,1965,149586.1531
1775,4,2,Suburb,1981,214171.0822
2966,3,2,Rural,1956,277419.0002
1034,5,3,Rural,1993,117295.3752
1205,2,1,Urban,1996,180760.8675
2104,4,1,Suburb,1954,202715.1601
2955,5,3,Rural,2012,378403.571
2585,2,1,Suburb,1961,257776.0924
2895,2,2,Suburb,2021,266046.8779
2411,5,1,Rural,1958,337645.6762
2025,5,2,Rural,1993,240145.9703
2021,5,1,Suburb,1971,92641.62211
2413,2,1,Urban,1995,152037.8828
1565,5,3,Rural,1957,149848.6164
2129,4,3,Urban,2005,220384.4345
2795,2,1,Rural,1977,305658.5639
2845,4,2,Urban,1996,318297.2566
2500,4,3,Rural,1984,230749.2763
1702,5,3,Urban,1970,201925.8409
1401,4,3,Suburb,1982,149576.6811
1729,5,1,Rural,2019,171877.0663
2579,2,2,Urban,1997,245276.7339
1161,4,2,Suburb,2003,288571.1272
1201,5,1,Urban,1951,87804.56
2981,3,2,Rural,1982,267127.0106
1995,5,3,Suburb,1965,221217.7693
1269,3,2,Suburb,1999,218784.633
2886,5,3,Rural,1969,315607.0238
1815,3,3,Urban,2016,217967.9285
2294,4,1,Rural,1994,353343.634
1455,3,3,Urban,1984,187002.9639
2485,4,2,Rural,1978,222855.0833
2750,4,2,Rural,1994,366548.8223
2275,5,2,Rural,1964,259473.2793
2016,4,2,Urban,1952,212440.4224
2725,2,2,Urban,2018,237066.6856
1295,3,3,Urban,1983,158357.6481
2748,5,1,Suburb,2020,255619.9978
1719,4,1,Suburb,1953,190659.435
2772,3,2,Urban,1968,284985.4357
1337,3,3,Urban,1970,214741.2
1878,2,1,Suburb,1964,128693.0288
2076,3,2,Rural,1966,184051.9827
1791,5,3,Rural,2003,242865.2602
2945,5,1,Urban,1986,295356.7755
1216,4,3,Rural,2003,107868.9321
1763,4,2,Urban,1971,207380.1361
1187,5,3,Suburb,1957,132828.8141
1379,3,1,Urban,1960,84493.69
1492,3,1,Suburb,2019,53360.86541
2064,2,3,Rural,1958,296199.3496
2180,4,1,Urban,1951,273924.6
1014,3,3,Urban,1981,204340.7259
2836,3,3,Urban,2000,228582.097
1064,4,2,Suburb,1986,237384.3466
2880,5,2,Rural,1955,312245.868
2862,3,3,Urban,1961,219408.625
1520,2,1,Rural,2003,201334.9416
2367,3,2,Suburb,1995,221413.5776
2152,3,1,Rural,1982,306839.6219
1647,2,3,Urban,1967,126756.3572
2495,5,1,Urban,1987,328702.8347
2086,2,1,Suburb,2008,141074.0284
2162,2,3,Rural,1956,220712.4613
2522,4,2,Urban,1964,319176.8399
1592,3,2,Suburb,1950,245299.2099
1391,5,1,Rural,1995,51154.13113
2698,3,3,Urban,1981,314018.0283
1418,5,3,Suburb,1998,222904.258
1288,2,2,Suburb,1959,115697.7782
1378,4,3,Suburb,1966,140714.7704
2796,2,3,Suburb,1969,178353.1481
2513,3,1,Suburb,2000,280022.0311
1230,4,1,Rural,1971,136418.4808
2017,4,2,Urban,1969,195803.9703
1040,3,2,Rural,2014,98933.43907
2051,5,1,Suburb,1953,185052.5632
1134,4,3,Urban,2003,160764.4394
1200,5,3,Suburb,2014,156394.2735
2863,5,1,Suburb,2000,333464.149
1779,5,1,Urban,1960,211994.3282
1929,4,1,Rural,1976,252779.6909
2056,2,1,Urban,1975,288750.4043
2071,4,3,Rural,1966,185482.0606
1502,2,3,Suburb,1991,119671.3689
1406,4,2,Suburb,1997,148891.4193
2597,2,1,Rural,1982,235810.2236
2751,2,2,Suburb,2010,357765.1172
1804,4,3,Rural,1978,216771.36
1098,5,2,Rural,2012,102580.4984
1683,5,3,Urban,1986,208774.1423
2895,2,3,Suburb,2005,302454.6401
1725,3,2,Urban,1965,208558.7817
2570,3,2,Urban,2005,276434.5399
1960,4,1,Suburb,1991,220786.712
2762,4,3,Urban,1973,354268.4752
1612,4,1,Suburb,2018,142420.9723
2966,3,1,Suburb,1980,299146.5954
2485,5,3,Urban,1960,321647.4527
1642,4,2,Suburb,1951,216976.9081
2792,4,1,Suburb,2020,243179.7034
2028,5,1,Suburb,1984,184210.7736
2241,2,3,Suburb,2011,175779.5682
1502,4,2,Urban,2003,162271.0864
1766,3,2,Rural,2018,240727.0397
1397,3,1,Urban,2000,186900.9464
1870,4,3,Rural,1958,208692.1498
1794,3,1,Rural,1963,114333.6939
1392,5,2,Rural,2005,225281.3242
1206,2,1,Suburb,1983,110852.4526
2038,2,3,Rural,1950,206119.1817
2881,4,1,Suburb,1987,292218.3734
2577,4,2,Suburb,1966,209166.2973
1891,2,3,Suburb,1965,283220.1087
2484,2,3,Urban,1997,354538.8214
2714,4,3,Rural,1999,290954.4918
2598,3,3,Urban,2020,207377.5555
1863,4,3,Suburb,1990,267934.0926
1742,5,1,Urban,1993,235034.8998
2264,4,3,Suburb,1964,246611.8831
1563,4,2,Urban,2010,314867.6516
2020,4,3,Suburb,1999,278092.7571
1095,4,2,Suburb,2001,88443.38397
2923,4,2,Urban,2001,235396.4545
2757,4,2,Suburb,1985,280503.8129
1484,3,2,Rural,1982,273072.3373
2430,4,2,Urban,1994,252666.8483
1230,2,1,Urban,1951,133914.4068
1748,4,2,Suburb,1950,142717.8302
2678,3,2,Urban,2019,266197.0444
2194,5,2,Rural,1996,245433.6945
1540,2,1,Urban,2013,177796.403
2059,4,3,Rural,1967,226582.2743
1524,4,2,Urban,2003,170745.4653
2183,2,1,Rural,1984,194059.3707
2862,4,1,Urban,2008,347187.4093
2722,3,1,Rural,1985,345978.9789
2266,4,3,Suburb,1975,323981.508
2109,5,1,Urban,1994,185909.9016
2819,3,2,Urban,2018,231642.4153
1577,4,2,Rural,1979,181472.0115
1681,5,2,Urban,1982,247683.3818
1556,2,3,Rural,1972,174119.7797
2597,3,1,Suburb,1970,249931.3819
2976,4,2,Rural,2012,352084.0473
2012,4,2,Urban,2019,356256.9103
1645,2,2,Suburb,2017,115738.6024
1795,2,3,Rural,1985,265399.2764
2051,3,2,Rural,1986,205543.4525
2643,3,1,Suburb,1950,248155.8717
2579,3,1,Urban,1975,318796.3968
2363,4,3,Urban,1991,254479.256
2821,4,3,Urban,1989,248782.2169
2981,3,3,Suburb,2002,320922.1762
2354,4,1,Rural,2011,265274.004
2663,2,3,Suburb,1993,283301.9362
2529,5,3,Rural,1985,291195.6713
2371,4,1,Suburb,1953,240277.0098
2496,3,2,Rural,1970,316708.5954
2254,4,3,Rural,1966,267724.6993
1189,2,2,Suburb,1965,52033.75929
2248,3,2,Suburb,1990,157260.9835
2408,5,2,Suburb,2004,349887.4
2400,3,2,Rural,2006,302581.5244
2306,3,3,Suburb,2015,267740.4347
2981,3,3,Rural,1987,296942.7544
1632,4,3,Rural,2005,211665.6222
1627,5,1,Suburb,1986,240462.6778
1972,2,1,Urban,1999,221900.7731
2768,4,2,Urban,2004,337510.5084
2282,5,1,Rural,1950,351438.5468
2382,5,2,Rural,2014,207718.7412
1709,4,2,Urban,2014,187379.3901
2479,3,3,Rural,1993,325104.8264
2434,5,3,Urban,1961,234064.5137
1648,2,1,Rural,2002,168976.4954
1317,4,3,Rural,2010,72491.39026
2700,5,1,Suburb,1962,397825.3364
2248,2,3,Urban,1991,224680.0524
2842,2,3,Rural,1995,297609.7185
2257,2,1,Urban,1991,211357.5631
1683,2,2,Suburb,1965,191156.3841
1663,4,1,Urban,1993,198444.2855
2998,2,3,Rural,2019,227602.8452
2850,4,2,Urban,1965,227374.5843
2397,2,3,Suburb,1971,311492.2
2695,2,3,Urban,1984,341035.6518
2631,4,3,Urban,1998,329215.4127
2495,3,2,Urban,2020,189722.895
2256,5,3,Urban,2013,315304.2483
2715,5,1,Rural,1980,229019.4795
2136,4,1,Urban,1950,218041.2171
2853,2,1,Suburb,1974,256367.8643
2520,4,2,Urban,1969,427589.087
1441,2,1,Suburb,1957,161116.8187
1563,4,3,Suburb,2013,182494.886
2291,5,2,Suburb,1965,276165.9
2533,4,3,Suburb,2004,314516.613
2830,5,3,Rural,1975,272012.3
2409,5,3,Urban,2014,342249.5423
2410,5,1,Urban,1977,258023.511
2136,4,1,Rural,1995,115459.882
2636,3,2,Urban,2003,240419.9739
2648,4,2,Rural,2003,388951.7892
1951,4,1,Suburb,2021,250119.2129
2104,3,1,Urban,1998,210586.9765
1698,3,3,Suburb,1995,234243.6
1112,5,1,Urban,1950,69293.96649
1001,2,3,Urban,1993,163837.6824
1641,2,1,Urban,1953,252127.9863
1219,5,3,Suburb,1980,117989.3568
2589,4,1,Rural,1964,313948.4453
1854,2,1,Suburb,1950,254919.2752
2759,4,2,Rural,2021,197521.8272
2248,3,2,Urban,1955,198494
1384,3,3,Urban,1976,152204.7559
2426,5,2,Urban,1975,308529.3077
2661,4,2,Urban,2015,308854.901
2153,5,1,Suburb,1962,246860.55
2076,2,3,Rural,2020,225867.2386
2707,2,2,Rural,1983,249678.2289
1729,2,2,Rural,1982,108636.4752
2695,4,1,Urban,1989,299818.5608
2733,5,1,Suburb,1992,290094.6
2439,5,1,Urban,1956,272077.9
1246,2,3,Rural,1988,130941.4829
1835,5,1,Suburb,2015,241849.2415
2462,3,3,Suburb,1985,206273.3001
1202,3,1,Urban,2013,155086.4599
2207,3,2,Suburb,1953,169742.8703
1122,3,3,Suburb,1971,148324.4
1400,5,1,Suburb,2020,184460.0434
1766,3,1,Urban,1953,138095.4799
1293,3,2,Urban,2013,205414.9105
1279,3,2,Suburb,1971,183265.399
2860,3,2,Urban,2011,284616.5
1883,3,1,Suburb,1989,181947.6429
2633,4,2,Rural,1969,284003.7694
1197,4,2,Rural,1958,90959.78933
1981,3,3,Suburb,2014,198755.1464
2930,3,3,Rural,1972,370459.829
2534,5,3,Rural,1984,348379.2665
1751,3,1,Rural,2008,270704.1541
1143,2,3,Suburb,1963,168931.8286
1608,4,1,Urban,1993,189126.0514
2224,3,2,Suburb,1971,218168.7081
2147,4,1,Suburb,1977,199220.1955
1186,3,1,Urban,2008,129960.0168
2349,2,2,Suburb,1996,281507.745
1463,3,3,Suburb,2017,169378.7848
2372,4,3,Suburb,2019,248599.1077
2794,4,3,Rural,1966,411678.0284
1659,4,2,Suburb,1980,119032.883
1763,5,1,Suburb,1963,230075.0498
1954,4,2,Urban,1998,122604.9562
2955,3,2,Rural,2016,296998.8
1402,2,2,Rural,1970,109470.1427
2369,2,2,Suburb,1962,246212.1973
2986,3,1,Rural,1999,310583.0759
2534,5,3,Rural,2017,233756.8864
1146,3,3,Urban,1961,100102.2252
2171,4,2,Urban,1997,199324.8407
1863,5,1,Rural,2013,331026.5964
2734,3,2,Urban,1964,231041.3484
2843,5,1,Suburb,1965,333530.0634
1488,2,2,Urban,2021,61092.66123
1928,3,3,Suburb,1999,205778.3124
2959,3,3,Urban,1990,384570.7365
2663,2,2,Rural,1953,339772.9527
1550,5,3,Suburb,1969,186745.1296
1337,2,2,Urban,1957,185559.0802
1871,5,1,Urban,2017,213894.3146
1640,3,1,Suburb,1996,180978.0157
2802,5,1,Urban,1982,243011.5747
2976,5,1,Rural,1954,265075.9
1472,4,2,Suburb,2017,163315.127
2969,4,3,Rural,1990,384847
1150,4,1,Suburb,2010,190479.1989
2438,2,3,Suburb,1973,204129.2143
2321,2,2,Suburb,1976,249930.1176
2634,4,3,Suburb,1978,372750.5
1262,3,3,Rural,2016,189650.2011
2787,3,3,Rural,1986,308299.3121
1143,3,2,Suburb,2002,95784.07402
1345,2,2,Suburb,1951,165456.1184
1623,5,2,Rural,1986,236531.6655
2016,2,3,Suburb,2021,212190.8
2595,4,1,Suburb,2014,298280.3607
1880,5,1,Rural,1997,172765.2509
1001,3,3,Rural,1998,151917.3536
1896,2,1,Rural,1996,196497.0693
2327,2,1,Urban,1953,212603.1702
1253,4,3,Suburb,1952,205827.9137
2675,3,2,Rural,1985,350608.1323
1452,2,1,Suburb,1955,64055.91438
2060,2,2,Urban,1983,202645.4687
2183,5,1,Rural,2001,215636.3058
2014,2,3,Rural,1980,210336.9815
1008,5,3,Suburb,1983,161063.7361
2256,2,2,Suburb,1991,162732.681
2122,3,2,Rural,1997,283190.3906
2682,4,2,Rural,2005,257018.5571
1815,3,2,Suburb,1967,161315.0888
1207,4,3,Suburb,1963,171344.5126
2154,2,3,Rural,2018,301758.3278
1403,3,3,Urban,2007,186512.3187
1151,5,2,Suburb,2019,147961.7399
1053,4,3,Suburb,2005,96856.09
2143,4,3,Suburb,2002,241976.2417
2696,2,1,Rural,2018,256546.8458
2943,4,1,Rural,2009,245612.125
1627,4,1,Rural,1981,192616.9107
1586,4,2,Suburb,1996,234537.6253
2648,2,2,Suburb,1971,266525.8016
2991,3,3,Urban,1953,411274.8172
2443,2,3,Rural,1974,241617.2738
2445,5,2,Rural,2010,230463.8154
1103,4,1,Suburb,1961,249885.947
2875,4,3,Suburb,1980,320712.1739
1253,3,1,Urban,1950,131536.1636
2250,4,3,Suburb,2010,258681.6486
2135,3,1,Suburb,1955,236721.5797
1509,4,3,Suburb,1971,152417.9594
2496,4,1,Urban,1961,277449.0164
1098,2,1,Urban,1972,97639.6442
1152,2,2,Urban,1984,68864.72804
2884,5,3,Urban,1963,292602.0202
1913,3,1,Urban,1979,163126.6346
2919,5,2,Rural,1971,316117.1566
1877,2,3,Suburb,1965,173591.5158
1337,3,2,Urban,2020,245240.8693
2729,2,1,Urban,1964,299136.081
1821,3,3,Urban,1951,102620.9118
2186,4,1,Urban,1971,174740.9101
2743,5,1,Suburb,2012,303839.7622
1956,5,2,Suburb,1964,255500.6503
2704,3,1,Rural,1968,305226.148
1160,5,3,Suburb,1970,174048.9196
2603,2,2,Urban,1976,240369.9407
1800,5,1,Urban,1968,310732.593
1397,3,1,Urban,1975,125680.0817
2300,5,1,Urban,1998,303253.7531
1815,5,2,Suburb,2007,137931.9766
2939,2,3,Suburb,2016,238181.4446
2527,4,2,Rural,1974,299144.4834
2919,2,1,Suburb,1971,340122.3587
2415,5,2,Urban,1963,230193.1787
2158,5,1,Urban,1958,300494.8966
2218,4,2,Suburb,1971,267560.2688
1400,4,1,Rural,1964,173748.309
1639,2,2,Rural,1989,198112.8732
2056,4,1,Suburb,2014,237224.4282
1687,2,1,Suburb,2002,130383.6498
1459,3,2,Suburb,1980,248587.2901
1954,5,2,Urban,1959,268826.741
2906,4,1,Suburb,1983,307426.1376
1469,3,3,Suburb,1986,224293.9722
2398,3,1,Rural,1962,335992.3788
2045,2,1,Rural,1987,265649.0843
1749,2,3,Urban,1994,218960.6472
2693,4,1,Rural,1959,257512.6
1037,2,2,Rural,1971,86619.3
1229,3,2,Suburb,2010,48780.11213
2388,3,3,Rural,1987,274896.2616
1562,5,1,Rural,2007,181237.8317
1437,3,2,Rural,1975,49052.37096
2799,4,1,Rural,1998,182649.2383
2306,5,3,Rural,2011,347942.0053
1026,2,2,Rural,1958,31998.01568
1225,5,3,Rural,2009,181103.2635
2300,3,1,Rural,1979,172216.0833
1797,4,1,Urban,1970,273262.8517
2632,2,1,Suburb,1999,306987.0516
1283,2,3,Rural,1978,172933.772
1878,3,2,Suburb,1989,159685.4467
1959,4,3,Rural,1966,244916.4658
2504,3,2,Urban,2017,250927.6416
1452,3,1,Rural,2013,86276.33242
2019,4,1,Urban,1972,209029.9486
2852,3,3,Rural,1956,267060.0308
1815,4,2,Rural,1983,158867.8199
1658,4,1,Suburb,1973,200254.7187
2539,3,1,Rural,1956,197039.3949
1546,3,3,Rural,1957,251427.1554
2215,5,3,Urban,1952,298798.8575
2072,2,2,Suburb,1953,209615.3838
2535,2,1,Rural,2012,343628.2296
1016,4,2,Suburb,2015,86742.69816
2195,5,2,Suburb,2018,260504.8307
2243,4,2,Rural,1959,267664.3312
1157,5,3,Rural,2012,87137.89
1476,4,2,Rural,1986,217625.4427
2069,2,2,Rural,2021,179619.6811
2396,5,2,Rural,1952,304272.5428
1517,3,3,Suburb,1978,180446.9392
1098,3,3,Urban,2011,96810.15544
2915,2,1,Suburb,1982,293526.3479
2768,5,3,Rural,2009,333027.9076
2060,3,3,Suburb,1991,261561.3314
1279,3,2,Urban,2011,60826.53
2372,3,1,Suburb,1955,278442.1635
1496,2,3,Rural,1998,123828.1036
1301,4,1,Rural,2021,88586.06
1180,3,2,Rural,1992,134443.8975
1606,3,3,Urban,1958,136925.1708
2122,4,2,Rural,2000,234164.891
1699,3,2,Rural,1963,150304.5494
1992,5,1,Rural,1973,240050.496
2139,3,3,Rural,2021,277542.7035
1190,4,1,Suburb,1982,197241.2518
1252,2,2,Rural,1978,101805.5981
1980,2,3,Suburb,1951,197810.6223
1927,5,2,Urban,2001,172279.0649
2184,3,1,Suburb,1994,205236.2839
2279,3,1,Suburb,1987,206408.5332
2346,4,2,Suburb,1994,279440
1127,4,1,Suburb,1965,127174.7226
1017,5,1,Suburb,1996,127458.039
2816,5,2,Suburb,1974,356063.8292
2758,3,3,Urban,2006,344787.6194